Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
ZAUSKIHAUS,2023-08-06 19:45:28,00:00:46,,Season 6 Teaser 2: Black Mirror,TEASER_TRAILER,Microsoft Xbox Series X,00:00:46,00:00:46,US (United States)
ZAUSKIHAUS,2023-08-06 19:44:29,00:00:33,,Streamberry Presents,TEASER_TRAILER,Microsoft Xbox Series X,00:00:33,00:00:33,US (United States)
ZAUSKIHAUS,2023-08-06 19:43:46,00:00:27,,Black Mirror: Season 6: Joan Is Awful (Episode 1),,Microsoft Xbox Series X,00:00:27,00:00:27,US (United States)
ZAUSKIHAUS,2023-08-06 19:43:16,00:00:16,,Black Mirror: Season 6 (Episode Title Reveal),TEASER_TRAILER,Microsoft Xbox Series X,00:00:16,00:00:16,US (United States)
ZAUSKIHAUS,2023-08-06 19:41:55,00:01:06,,Black Mirror: Season 6 (Teaser 1),TEASER_TRAILER,Microsoft Xbox Series X,00:01:06,00:01:06,US (United States)
ZAUSKIHAUS,2023-08-06 19:40:30,00:00:10,Autoplayed: user action: None; ,The Fast and the Furious_hook_04_16x9,HOOK,Microsoft Xbox Series X,00:00:10,Not latest view,US (United States)
ZAUSKIHAUS,2023-08-06 19:39:38,00:00:32,Autoplayed: user action: None; ,Fatale_hook_03_16x9,HOOK,Microsoft Xbox Series X,00:00:32,00:00:32,US (United States)
ZAUSKIHAUS,2023-08-04 14:23:12,00:42:03,,S.W.A.T.: Season 5: Vagabundo (Episode 1),,Microsoft Xbox Series X,00:42:03,00:42:03,US (United States)
ZAUSKIHAUS,2023-08-03 00:45:42,00:28:19,,Suits: Season 2: The Choice (Episode 2),,iPhone 12 Pro,00:42:27,00:42:27,US (United States)
ZAUSKIHAUS,2023-08-02 21:18:56,00:13:42,,Suits: Season 2: She Knows (Episode 1),,iPhone 12 Pro,00:42:36,00:42:36,US (United States)
ZAUSKIHAUS,2023-08-02 10:09:58,00:13:37,,Suits: Season 2: She Knows (Episode 1),,iPhone 12 Pro,00:22:02,Not latest view,US (United States)
ZAUSKIHAUS,2023-08-01 21:50:36,00:00:47,,Suits: Season 2: She Knows (Episode 1),,iPhone 12 Pro,00:01:13,Not latest view,US (United States)
